state,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost
CA,Ambien,38059.0,731630.79,19.22,Zolpidem Tartrate,21977692.0,4861602.52,0.22
CO,Humira Pen,75801.0,15620486.0,206.07,Adalimumab,0,0,N/A
CO,Lipitor,2790.0,39951.96,14.32,Atorvastatin Calcium,55672294.0,10960437.79,0.2
CO,Aricept,360.0,6003.24,16.68,Donepezil Hcl,2716926.0,1034686.56,0.38
CO,Enbrel,135492.0,25791823.45,190.36,Etanercept,0,0,N/A
CO,Zoloft,390.0,8266.83,21.2,Sertraline Hcl,8447376.0,2128919.23,0.25
CO,Trintellix,131605.0,1918349.68,14.58,Vortioxetine Hydrobromide,0,0,N/A
CO,Ambien,2890.0,54888.46,18.99,Zolpidem Tartrate,3786576.0,930256.41,0.25
CT,Humira Pen,34766.0,8459472.25,243.33,Adalimumab,0,0,N/A
CT,Lipitor,105767.0,1332883.78,12.6,Atorvastatin Calcium,50287371.0,11237858.58,0.22
CT,Aricept,360.0,5940.84,16.5,Donepezil Hcl,3217329.0,1176484.62,0.37
CT,Enbrel,105452.0,21045172.1,199.57,Etanercept,0,0,N/A
CT,Zoloft,4880.0,65075.96,13.34,Sertraline Hcl,7854206.0,1874933.79,0.24
CT,Trintellix,311933.0,4328344.1,13.88,Vortioxetine Hydrobromide,0,0,N/A
CT,Ambien,11355.0,232525.08,20.48,Zolpidem Tartrate,3232334.0,974938.44,0.3
DE,Humira Pen,15696.0,3526116.04,224.65,Adalimumab,0,0,N/A
DE,Lipitor,2610.0,32733.62,12.54,Atorvastatin Calcium,15217586.0,3467852.65,0.23
DE,Aricept,0,0,N/A,Donepezil Hcl,701314.0,237895.42,0.34
DE,Enbrel,29826.0,5923715.41,198.61,Etanercept,0,0,N/A
DE,Zoloft,0,0,N/A,Sertraline Hcl,2286835.0,684635.39,0.3
DE,Trintellix,49225.0,660040.11,13.41,Vortioxetine Hydrobromide,0,0,N/A
DE,Ambien,1440.0,26074.67,18.11,Zolpidem Tartrate,939700.0,231185.76,0.25
FL,Humira Pen,205613.0,46593282.67,226.61,Adalimumab,0,0,N/A
FL,Lipitor,39339.0,524638.85,13.34,Atorvastatin Calcium,296816400.0,56330300.94,0.19
FL,Aricept,2786.0,46916.43,16.84,Donepezil Hcl,30035168.0,7892020.87,0.26
FL,Enbrel,563159.0,114929912.24,204.08,Etanercept,0,0,N/A
FL,Zoloft,7074.0,132610.97,18.75,Sertraline Hcl,50067712.0,8865483.67,0.18
FL,Trintellix,925389.0,12820733.33,13.85,Vortioxetine Hydrobromide,0,0,N/A
FL,Ambien,17588.0,355622.84,20.22,Zolpidem Tartrate,22466907.0,5290017.05,0.24
GA,Humira Pen,119266.0,26873913.76,225.33,Adalimumab,0,0,N/A
GA,Lipitor,5145.0,72395.58,14.07,Atorvastatin Calcium,101279142.0,19350192.1,0.19
GA,Aricept,364.0,6369.74,17.5,Donepezil Hcl,9962783.0,3582999.57,0.36
GA,Enbrel,285984.0,57941635.53,202.6,Etanercept,0,0,N/A
GA,Zoloft,3118.0,63410.99,20.34,Sertraline Hcl,18747349.0,3785576.43,0.2
GA,Trintellix,390171.0,5465396.13,14.01,Vortioxetine Hydrobromide,0,0,N/A
GA,Ambien,5703.0,111220.71,19.5,Zolpidem Tartrate,9239617.0,2102836.49,0.23
HI,Humira Pen,6138.0,1150638.79,187.46,Adalimumab,0,0,N/A
HI,Lipitor,9795.0,143684.47,14.67,Atorvastatin Calcium,18206990.0,2944044.83,0.16
HI,Aricept,0,0,N/A,Donepezil Hcl,1039174.0,301201.76,0.29
HI,Enbrel,23044.0,4078757.81,177.0,Etanercept,0,0,N/A
HI,Zoloft,330.0,3823.82,11.59,Sertraline Hcl,932441.0,166326.45,0.18
HI,Trintellix,56005.0,796096.27,14.21,Vortioxetine Hydrobromide,0,0,N/A
HI,Ambien,886.0,11308.32,12.76,Zolpidem Tartrate,563519.0,128529.61,0.23
ID,Humira Pen,11558.0,2660027.97,230.15,Adalimumab,0,0,N/A
ID,Lipitor,660.0,8407.11,12.74,Atorvastatin Calcium,17963785.0,3689066.59,0.21
ID,Aricept,0,0,N/A,Donepezil Hcl,1016121.0,335873.45,0.33
ID,Enbrel,34632.0,7000458.46,202.14,Etanercept,0,0,N/A
ID,Zoloft,0,0,N/A,Sertraline Hcl,3578202.0,690944.95,0.19
ID,Trintellix,102427.0,1412790.96,13.79,Vortioxetine Hydrobromide,0,0,N/A
ID,Ambien,2262.0,69204.31,30.59,Zolpidem Tartrate,1719652.0,330094.34,0.19
IL,Humira Pen,155315.0,35027336.11,225.52,Adalimumab,0,0,N/A
IL,Lipitor,24501.0,340226.48,13.89,Atorvastatin Calcium,153982815.0,34237963.8,0.22
IL,Aricept,374.0,5952.43,15.92,Donepezil Hcl,11354050.0,4104141.93,0.36
IL,Enbrel,282923.0,57439035.69,203.02,Etanercept,0,0,N/A
IL,Zoloft,4737.0,64212.78,13.56,Sertraline Hcl,23468982.0,5202549.49,0.22
IL,Trintellix,306733.0,4417500.51,14.4,Vortioxetine Hydrobromide,0,0,N/A
IL,Ambien,7405.0,169049.11,22.83,Zolpidem Tartrate,7125635.0,1620136.06,0.23
IN,Humira Pen,62671.0,15019893.72,239.66,Adalimumab,0,0,N/A
IN,Lipitor,4409.0,60073.67,13.63,Atorvastatin Calcium,92987644.0,19765984.83,0.21
IN,Aricept,0,0,N/A,Donepezil Hcl,7397712.0,2768789.64,0.37
IN,Enbrel,175013.0,35090884.52,200.5,Etanercept,0,0,N/A
IN,Zoloft,1806.0,26468.5,14.66,Sertraline Hcl,17570400.0,3854291.86,0.22
IN,Trintellix,654800.0,9105473.53,13.91,Vortioxetine Hydrobromide,0,0,N/A
IN,Ambien,3780.0,73001.99,19.31,Zolpidem Tartrate,5067911.0,1144434.29,0.23
IA,Humira Pen,31409.0,7293464.22,232.21,Adalimumab,0,0,N/A
IA,Lipitor,12394.0,164135.98,13.24,Atorvastatin Calcium,43794761.0,7972080.6,0.18
IA,Aricept,600.0,9407.8,15.68,Donepezil Hcl,3184137.0,1159810.02,0.36
IA,Enbrel,45507.0,9215791.18,202.51,Etanercept,0,0,N/A
IA,Zoloft,1592.0,34100.3,21.42,Sertraline Hcl,8708972.0,1722977.86,0.2
IA,Trintellix,200692.0,2864012.55,14.27,Vortioxetine Hydrobromide,0,0,N/A
IA,Ambien,2075.0,47105.07,22.7,Zolpidem Tartrate,2524561.0,687797.07,0.27
KS,Humira Pen,21145.0,4685375.76,221.58,Adalimumab,0,0,N/A
KS,Lipitor,0,0,N/A,Atorvastatin Calcium,34096870.0,6286347.39,0.18
KS,Aricept,0,0,N/A,Donepezil Hcl,3044878.0,986615.41,0.32
KS,Enbrel,47090.0,9751268.4,207.08,Etanercept,0,0,N/A
KS,Zoloft,3673.0,67362.04,18.34,Sertraline Hcl,7019950.0,1323494.71,0.19
KS,Trintellix,157026.0,2198104.83,14.0,Vortioxetine Hydrobromide,0,0,N/A
KS,Ambien,1357.0,32695.62,24.09,Zolpidem Tartrate,2535073.0,521189.21,0.21
KY,Humira Pen,84513.0,19325110.74,228.66,Adalimumab,0,0,N/A
KY,Lipitor,2940.0,38807.72,13.2,Atorvastatin Calcium,59696722.0,12220310.67,0.2
KY,Aricept,0,0,N/A,Donepezil Hcl,5678956.0,1889328.72,0.33
KY,Enbrel,166134.0,33969743.7,204.47,Etanercept,0,0,N/A
KY,Zoloft,1938.0,41972.16,21.66,Sertraline Hcl,13426098.0,2466607.99,0.18
KY,Trintellix,328441.0,4562702.27,13.89,Vortioxetine Hydrobromide,0,0,N/A
KY,Ambien,4380.0,83737.22,19.12,Zolpidem Tartrate,3875929.0,750229.72,0.19
LA,Humira Pen,61444.0,15158670.19,246.71,Adalimumab,0,0,N/A
LA,Lipitor,1410.0,22278.21,15.8,Atorvastatin Calcium,56998246.0,10244988.11,0.18
LA,Aricept,358.0,3928.49,10.97,Donepezil Hcl,4975167.0,1458024.94,0.29
LA,Enbrel,103444.0,21250056.0,205.43,Etanercept,0,0,N/A
LA,Zoloft,2446.0,37349.27,15.27,Sertraline Hcl,9474651.0,1802483.7,0.19
LA,Trintellix,275690.0,3826682.57,13.88,Vortioxetine Hydrobromide,0,0,N/A
LA,Ambien,2513.0,47378.99,18.85,Zolpidem Tartrate,4790118.0,948892.76,0.2
ME,Humira Pen,23806.0,5612544.44,235.76,Adalimumab,0,0,N/A
ME,Lipitor,480.0,7467.52,15.56,Atorvastatin Calcium,21979644.0,6180109.12,0.28
ME,Aricept,0,0,N/A,Donepezil Hcl,887490.0,357002.86,0.4
ME,Enbrel,42304.0,8354878.31,197.5,Etanercept,0,0,N/A
ME,Zoloft,750.0,9006.6,12.01,Sertraline Hcl,5920477.0,1467203.24,0.25
ME,Trintellix,62961.0,879214.03,13.96,Vortioxetine Hydrobromide,0,0,N/A
ME,Ambien,2522.0,48587.67,19.27,Zolpidem Tartrate,1017462.0,259444.21,0.25
MD,Humira Pen,64673.0,14399892.55,222.66,Adalimumab,0,0,N/A
MD,Lipitor,3330.0,47699.55,14.32,Atorvastatin Calcium,59300739.0,13694461.63,0.23
MD,Aricept,0,0,N/A,Donepezil Hcl,3691206.0,1471186.96,0.4
MD,Enbrel,101727.0,19727503.69,193.93,Etanercept,0,0,N/A
MD,Zoloft,780.0,9528.99,12.22,Sertraline Hcl,9637218.0,2129058.51,0.22
MD,Trintellix,192695.0,2706984.55,14.05,Vortioxetine Hydrobromide,0,0,N/A
MD,Ambien,6836.0,142604.11,20.86,Zolpidem Tartrate,3415887.0,783951.93,0.23
MA,Humira Pen,151905.0,35343355.5,232.67,Adalimumab,0,0,N/A
MA,Lipitor,22339.0,315234.34,14.11,Atorvastatin Calcium,98920037.0,22005639.91,0.22
MA,Aricept,0,0,N/A,Donepezil Hcl,5825360.0,2147404.93,0.37
MA,Enbrel,322669.0,64541782.67,200.02,Etanercept,0,0,N/A
MA,Zoloft,8346.0,155688.06,18.65,Sertraline Hcl,19250959.0,3929556.87,0.2
MA,Trintellix,360828.0,4994270.86,13.84,Vortioxetine Hydrobromide,0,0,N/A
MA,Ambien,17090.0,359929.48,21.06,Zolpidem Tartrate,4926179.0,1036925.14,0.21
MI,Humira Pen,209712.0,47216349.7,225.15,Adalimumab,0,0,N/A
MI,Lipitor,182833.0,2351553.92,12.86,Atorvastatin Calcium,141996203.0,38939260.99,0.27
MI,Aricept,0,0,N/A,Donepezil Hcl,9805654.0,3735617.36,0.38
MI,Enbrel,484872.0,94547066.4,194.99,Etanercept,0,0,N/A
MI,Zoloft,13210.0,171960.03,13.02,Sertraline Hcl,24755438.0,5607838.33,0.23
MI,Trintellix,795429.0,11002002.35,13.83,Vortioxetine Hydrobromide,0,0,N/A
MI,Ambien,5914.0,124225.78,21.01,Zolpidem Tartrate,6389457.0,1203059.96,0.19
MN,Humira Pen,65465.0,15042747.39,229.78,Adalimumab,0,0,N/A
MN,Lipitor,2884.0,33506.88,11.62,Atorvastatin Calcium,69260929.0,15721525.93,0.23
MN,Aricept,589.0,16499.21,28.01,Donepezil Hcl,4308193.0,1541499.75,0.36
MN,Enbrel,117533.0,23804401.91,202.53,Etanercept,0,0,N/A
MN,Zoloft,3932.0,83071.07,21.13,Sertraline Hcl,14600304.0,3155183.19,0.22
MN,Trintellix,194673.0,2811340.21,14.44,Vortioxetine Hydrobromide,0,0,N/A
MN,Ambien,4712.0,121316.32,25.75,Zolpidem Tartrate,3223889.0,877481.79,0.27
MS,Humira Pen,30404.0,6964833.61,229.08,Adalimumab,0,0,N/A
MS,Lipitor,1350.0,16816.18,12.46,Atorvastatin Calcium,30360756.0,5712942.84,0.19
MS,Aricept,0,0,N/A,Donepezil Hcl,3965676.0,1130631.05,0.29
MS,Enbrel,76615.0,15888022.43,207.37,Etanercept,0,0,N/A
MS,Zoloft,390.0,14129.96,36.23,Sertraline Hcl,6060595.0,1074112.47,0.18
MS,Trintellix,222280.0,3157907.21,14.21,Vortioxetine Hydrobromide,0,0,N/A
MS,Ambien,720.0,14112.36,19.6,Zolpidem Tartrate,2792699.0,468040.59,0.17
MO,Humira Pen,76884.0,17779884.32,231.26,Adalimumab,0,0,N/A
MO,Lipitor,19655.0,250667.36,12.75,Atorvastatin Calcium,81122924.0,15195870.12,0.19
MO,Aricept,360.0,6133.8,17.04,Donepezil Hcl,7077738.0,2381877.05,0.34
MO,Enbrel,134231.0,27821894.23,207.27,Etanercept,0,0,N/A
MO,Zoloft,2226.0,38905.44,17.48,Sertraline Hcl,16087143.0,3360926.12,0.21
MO,Trintellix,595739.0,8360020.57,14.03,Vortioxetine Hydrobromide,0,0,N/A
MO,Ambien,3261.0,61366.2,18.82,Zolpidem Tartrate,5996370.0,1375681.59,0.23
MT,Humira Pen,15461.0,3563639.07,230.49,Adalimumab,0,0,N/A
MT,Lipitor,0,0,N/A,Atorvastatin Calcium,10986020.0,2236909.14,0.2
MT,Aricept,0,0,N/A,Donepezil Hcl,688379.0,212933.1,0.31
MT,Enbrel,36299.0,7365363.19,202.91,Etanercept,0,0,N/A
MT,Zoloft,720.0,6294.84,8.74,Sertraline Hcl,2209568.0,398862.9,0.18
MT,Trintellix,38031.0,550109.77,14.46,Vortioxetine Hydrobromide,0,0,N/A
MT,Ambien,360.0,6966.12,19.35,Zolpidem Tartrate,954754.0,188620.08,0.2
NE,Humira Pen,12138.0,2775193.8,228.64,Adalimumab,0,0,N/A
NE,Lipitor,8947.0,106032.81,11.85,Atorvastatin Calcium,22566119.0,4330896.41,0.19
NE,Aricept,0,0,N/A,Donepezil Hcl,1878329.0,686383.87,0.37
NE,Enbrel,32958.0,6535675.17,198.3,Etanercept,0,0,N/A
NE,Zoloft,968.0,16088.87,16.62,Sertraline Hcl,4470678.0,934599.44,0.21
NE,Trintellix,109646.0,1544801.34,14.09,Vortioxetine Hydrobromide,0,0,N/A
NE,Ambien,1470.0,28134.82,19.14,Zolpidem Tartrate,1583317.0,412237.07,0.26
NV,Humira Pen,13422.0,3071654.98,228.85,Adalimumab,0,0,N/A
NV,Lipitor,1230.0,18333.22,14.91,Atorvastatin Calcium,34729142.0,5889490.31,0.17
NV,Aricept,0,0,N/A,Donepezil Hcl,2317028.0,657242.9,0.28
NV,Enbrel,41329.0,8365071.89,202.4,Etanercept,0,0,N/A
NV,Zoloft,2345.0,34603.28,14.76,Sertraline Hcl,4005515.0,776402.51,0.19
NV,Trintellix,47440.0,655653.02,13.82,Vortioxetine Hydrobromide,0,0,N/A
NV,Ambien,689.0,12741.5,18.49,Zolpidem Tartrate,2202361.0,481249.06,0.22
NH,Humira Pen,27296.0,6271586.81,229.76,Adalimumab,0,0,N/A
NH,Lipitor,1282.0,17166.75,13.39,Atorvastatin Calcium,18297004.0,4397063.5,0.24
NH,Aricept,0,0,N/A,Donepezil Hcl,1000931.0,398663.83,0.4
NH,Enbrel,46208.0,9337183.63,202.07,Etanercept,0,0,N/A
NH,Zoloft,1319.0,20824.08,15.79,Sertraline Hcl,3807586.0,910307.48,0.24
NH,Trintellix,83903.0,1182650.69,14.1,Vortioxetine Hydrobromide,0,0,N/A
NH,Ambien,2432.0,46286.59,19.03,Zolpidem Tartrate,1137349.0,300033.54,0.26
NJ,Humira Pen,85365.0,18270565.17,214.03,Adalimumab,0,0,N/A
NJ,Lipitor,188792.0,2422811.35,12.83,Atorvastatin Calcium,107177940.0,21116468.09,0.2
NJ,Aricept,1050.0,17264.73,16.44,Donepezil Hcl,8137398.0,2832858.55,0.35
NJ,Enbrel,273451.0,53274757.08,194.82,Etanercept,0,0,N/A
NJ,Zoloft,20372.0,324199.14,15.91,Sertraline Hcl,15071166.0,3077584.82,0.2
NJ,Trintellix,359066.0,4914587.01,13.69,Vortioxetine Hydrobromide,0,0,N/A
NJ,Ambien,27705.0,521013.38,18.81,Zolpidem Tartrate,7702640.0,1877440.75,0.24
NM,Humira Pen,31177.0,6968880.52,223.53,Adalimumab,0,0,N/A
NM,Lipitor,360.0,4089.0,11.36,Atorvastatin Calcium,18115324.0,4229873.94,0.23
NM,Aricept,0,0,N/A,Donepezil Hcl,1335365.0,513835.13,0.38
NM,Enbrel,71362.0,14342592.05,200.98,Etanercept,0,0,N/A
NM,Zoloft,1524.0,18587.83,12.2,Sertraline Hcl,3678143.0,906362.13,0.25
NM,Trintellix,45691.0,623513.1,13.65,Vortioxetine Hydrobromide,0,0,N/A
NM,Ambien,1800.0,47292.06,26.27,Zolpidem Tartrate,1133696.0,266243.16,0.23
NY,Humira Pen,276268.0,60096292.24,217.53,Adalimumab,0,0,N/A
NY,Lipitor,128327.0,1698247.0,13.23,Atorvastatin Calcium,256300055.0,50771692.71,0.2
NY,Aricept,4004.0,73476.99,18.35,Donepezil Hcl,19128305.0,6582908.67,0.34
NY,Enbrel,652527.0,127579478.59,195.52,Etanercept,0,0,N/A
NY,Zoloft,26791.0,443228.86,16.54,Sertraline Hcl,37948795.0,8249569.34,0.22
NY,Trintellix,1305220.0,18059873.15,13.84,Vortioxetine Hydrobromide,0,0,N/A
NY,Ambien,112712.0,2175164.32,19.3,Zolpidem Tartrate,17459672.0,4178100.34,0.24
NC,Humira Pen,134860.0,32370263.49,240.03,Adalimumab,0,0,N/A
NC,Lipitor,13336.0,182787.67,13.71,Atorvastatin Calcium,121752183.0,24394916.45,0.2
NC,Aricept,0,0,N/A,Donepezil Hcl,10772198.0,3569371.82,0.33
NC,Enbrel,311889.0,63851859.68,204.73,Etanercept,0,0,N/A
NC,Zoloft,6546.0,142433.78,21.76,Sertraline Hcl,25129369.0,5646856.31,0.22
NC,Trintellix,642960.0,9118887.62,14.18,Vortioxetine Hydrobromide,0,0,N/A
NC,Ambien,12704.0,234050.75,18.42,Zolpidem Tartrate,10194296.0,2428701.03,0.24
ND,Humira Pen,12349.0,2866199.47,232.1,Adalimumab,0,0,N/A
ND,Lipitor,360.0,5776.68,16.05,Atorvastatin Calcium,8040586.0,1743409.81,0.22
ND,Aricept,0,0,N/A,Donepezil Hcl,706399.0,253999.5,0.36
ND,Enbrel,11968.0,2416457.61,201.91,Etanercept,0,0,N/A
ND,Zoloft,660.0,8119.98,12.3,Sertraline Hcl,2376827.0,462674.34,0.19
ND,Trintellix,29297.0,410749.6,14.02,Vortioxetine Hydrobromide,0,0,N/A
ND,Ambien,1048.0,26540.75,25.33,Zolpidem Tartrate,486683.0,101248.92,0.21
OH,Humira Pen,134415.0,30880851.01,229.74,Adalimumab,0,0,N/A
OH,Lipitor,8411.0,117889.82,14.02,Atorvastatin Calcium,173743390.0,40651757.42,0.23
OH,Aricept,524.0,14598.58,27.86,Donepezil Hcl,13412229.0,5277783.71,0.39
OH,Enbrel,286692.0,57736219.86,201.39,Etanercept,0,0,N/A
OH,Zoloft,4327.0,73217.96,16.92,Sertraline Hcl,33151586.0,7046257.63,0.21
OH,Trintellix,834816.0,11619214.09,13.92,Vortioxetine Hydrobromide,0,0,N/A
OH,Ambien,8968.0,175249.67,19.54,Zolpidem Tartrate,8038394.0,1754283.95,0.22
OK,Humira Pen,42309.0,9290733.82,219.59,Adalimumab,0,0,N/A
OK,Lipitor,1170.0,14164.37,12.11,Atorvastatin Calcium,37957795.0,8624421.85,0.23
OK,Aricept,0,0,N/A,Donepezil Hcl,3672686.0,1374573.67,0.37
OK,Enbrel,104866.0,21329128.31,203.39,Etanercept,0,0,N/A
OK,Zoloft,645.0,7828.26,12.14,Sertraline Hcl,7381943.0,1515666.73,0.21
OK,Trintellix,259333.0,3636412.56,14.02,Vortioxetine Hydrobromide,0,0,N/A
OK,Ambien,2590.0,48534.47,18.74,Zolpidem Tartrate,3209524.0,682528.2,0.21
OR,Humira Pen,58076.0,12347264.26,212.61,Adalimumab,0,0,N/A
OR,Lipitor,2670.0,31630.7,11.85,Atorvastatin Calcium,52611672.0,11036153.77,0.21
OR,Aricept,0,0,N/A,Donepezil Hcl,3206797.0,1249074.44,0.39
OR,Enbrel,99162.0,19356827.5,195.2,Etanercept,0,0,N/A
OR,Zoloft,690.0,12499.5,18.12,Sertraline Hcl,8818922.0,2014245.48,0.23
OR,Trintellix,81645.0,1155321.31,14.15,Vortioxetine Hydrobromide,0,0,N/A
OR,Ambien,2280.0,38291.23,16.79,Zolpidem Tartrate,2651157.0,534049.71,0.2
PA,Humira Pen,195731.0,46132003.55,235.69,Adalimumab,0,0,N/A
PA,Lipitor,104274.0,1370382.86,13.14,Atorvastatin Calcium,196347561.0,47740616.12,0.24
PA,Aricept,780.0,12711.06,16.3,Donepezil Hcl,13488985.0,5622199.03,0.42
PA,Enbrel,363575.0,72116179.67,198.35,Etanercept,0,0,N/A
PA,Zoloft,17101.0,291839.79,17.07,Sertraline Hcl,38487988.0,8927169.85,0.23
PA,Trintellix,674348.0,9295983.38,13.79,Vortioxetine Hydrobromide,0,0,N/A
PA,Ambien,16646.0,313683.24,18.84,Zolpidem Tartrate,10402128.0,2250782.79,0.22
RI,Humira Pen,9815.0,2336658.85,238.07,Adalimumab,0,0,N/A
RI,Lipitor,14129.0,192312.39,13.61,Atorvastatin Calcium,17586432.0,3510221.32,0.2
RI,Aricept,0,0,N/A,Donepezil Hcl,1064076.0,383041.08,0.36
RI,Enbrel,30920.0,6220856.6,201.19,Etanercept,0,0,N/A
RI,Zoloft,330.0,8158.59,24.72,Sertraline Hcl,3618558.0,888931.28,0.25
RI,Trintellix,44768.0,648492.33,14.49,Vortioxetine Hydrobromide,0,0,N/A
RI,Ambien,2430.0,41081.28,16.91,Zolpidem Tartrate,962908.0,220156.92,0.23
SC,Humira Pen,83761.0,20065210.48,239.55,Adalimumab,0,0,N/A
SC,Lipitor,144710.0,2162194.84,14.94,Atorvastatin Calcium,61295802.0,13854260.32,0.23
SC,Aricept,3450.0,59343.42,17.2,Donepezil Hcl,5650812.0,2061728.78,0.36
SC,Enbrel,120780.0,25021513.89,207.17,Etanercept,0,0,N/A
SC,Zoloft,14467.0,206424.42,14.27,Sertraline Hcl,11118526.0,2397546.35,0.22
SC,Trintellix,312678.0,4361730.61,13.95,Vortioxetine Hydrobromide,0,0,N/A
SC,Ambien,12028.0,245217.81,20.39,Zolpidem Tartrate,6483255.0,1535434.98,0.24
SD,Humira Pen,9205.0,2059997.85,223.79,Adalimumab,0,0,N/A
SD,Lipitor,0,0,N/A,Atorvastatin Calcium,8506566.0,1676935.53,0.2
SD,Aricept,0,0,N/A,Donepezil Hcl,801060.0,287486.08,0.36
SD,Enbrel,12026.0,2407548.85,200.2,Etanercept,0,0,N/A
SD,Zoloft,0,0,N/A,Sertraline Hcl,2102545.0,381898.73,0.18
SD,Trintellix,32827.0,472393.89,14.39,Vortioxetine Hydrobromide,0,0,N/A
SD,Ambien,210.0,4027.8,19.18,Zolpidem Tartrate,657063.0,152785.01,0.23
TN,Humira Pen,101873.0,24289678.8,238.43,Adalimumab,0,0,N/A
TN,Lipitor,6120.0,87132.99,14.24,Atorvastatin Calcium,82520886.0,17590074.2,0.21
TN,Aricept,0,0,N/A,Donepezil Hcl,8715287.0,2967454.39,0.34
TN,Enbrel,243544.0,49242074.97,202.19,Etanercept,0,0,N/A
TN,Zoloft,2444.0,36267.63,14.84,Sertraline Hcl,18553898.0,4257990.34,0.23
TN,Trintellix,537069.0,7456509.27,13.88,Vortioxetine Hydrobromide,0,0,N/A
TN,Ambien,4320.0,80965.6,18.74,Zolpidem Tartrate,7051688.0,1522895.53,0.22
TX,Humira Pen,237403.0,54839754.06,231.0,Adalimumab,0,0,N/A
TX,Lipitor,9169.0,127467.74,13.9,Atorvastatin Calcium,259297080.0,47132579.22,0.18
TX,Aricept,1620.0,34025.39,21.0,Donepezil Hcl,25278380.0,8497269.62,0.34
TX,Enbrel,756181.0,152888546.97,202.19,Etanercept,0,0,N/A
TX,Zoloft,10354.0,178948.94,17.28,Sertraline Hcl,42916718.0,8829233.16,0.21
TX,Trintellix,999891.0,14040483.82,14.04,Vortioxetine Hydrobromide,0,0,N/A
TX,Ambien,17455.0,380344.37,21.79,Zolpidem Tartrate,17490347.0,3928313.1,0.22
UT,Humira Pen,17213.0,3802647.62,220.92,Adalimumab,0,0,N/A
UT,Lipitor,0,0,N/A,Atorvastatin Calcium,23098339.0,4172578.71,0.18
UT,Aricept,0,0,N/A,Donepezil Hcl,1455917.0,416345.92,0.29
UT,Enbrel,47934.0,9714486.76,202.66,Etanercept,0,0,N/A
UT,Zoloft,0,0,N/A,Sertraline Hcl,4292239.0,1031841.15,0.24
UT,Trintellix,74523.0,1041983.0,13.98,Vortioxetine Hydrobromide,0,0,N/A
